Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Nonrigid Registration,1,R9,2,BRCA (OHSU),0.000324598018778,2.64230179786682
Nonrigid Registration,1,R2,2,BRCA (OHSU),0.000234136721701,1.90592622756958
Nonrigid Registration,1,R4,2,BRCA (OHSU),0.000219964800635,1.79056358337402
Nonrigid Registration,1,R5,2,BRCA (OHSU),0.00023297892767,1.8965015411377
Nonrigid Registration,1,R7,2,BRCA (OHSU),0.000209602076211,1.7062087059021
Nonrigid Registration,1,R11,2,BRCA (OHSU),0.000290449854219,2.36432838439941
Nonrigid Registration,1,R8,2,BRCA (OHSU),0.000226628064411,1.8448041677475
Nonrigid Registration,1,R6,2,BRCA (OHSU),0.000240998895606,1.96178591251373
Nonrigid Registration,1,R3,2,BRCA (OHSU),0.000227111173444,1.84873676300049
Nonrigid Registration,1,R10,2,BRCA (OHSU),0.000200397713343,1.63128304481506
