Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Unregistered,1,R9,na,BRCA (OHSU),0.014688373543322,119.348663330078
Unregistered,1,R2,na,BRCA (OHSU),0.026128944009543,212.677047729492
Unregistered,1,R4,na,BRCA (OHSU),0.235079154372215,1632.44189453125
Unregistered,1,R5,na,BRCA (OHSU),0.056822713464499,462.148742675781
Unregistered,1,R7,na,BRCA (OHSU),0.004342189989984,35.3433036804199
Unregistered,1,R11,na,BRCA (OHSU),0.016367936506868,132.972473144531
Unregistered,1,R8,na,BRCA (OHSU),0.039439186453819,320.793395996094
Unregistered,1,R6,na,BRCA (OHSU),0.257190644741058,1786.41381835938
Unregistered,1,R3,na,BRCA (OHSU),0.054128643125296,440.199310302734
Unregistered,1,R10,na,BRCA (OHSU),0.034769274294376,282.537902832031
