Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Nonrigid Registration - channel 4,1,R9,4,BRCA (OHSU),0.0002889072638936341,2.351771116256714
Nonrigid Registration - channel 4,1,R2,4,BRCA (OHSU),0.00017401514924131334,1.4165229797363281
Nonrigid Registration - channel 4,1,R4,4,BRCA (OHSU),0.00038381569902412593,3.124347448348999
Nonrigid Registration - channel 4,1,R5,4,BRCA (OHSU),0.000196979395695962,1.6034570932388306
Nonrigid Registration - channel 4,1,R7,4,BRCA (OHSU),0.00018634303705766797,1.51687490940094
Nonrigid Registration - channel 4,1,R11,4,BRCA (OHSU),0.0002459451206959784,2.002049684524536
Nonrigid Registration - channel 4,1,R8,4,BRCA (OHSU),0.20603570342063904,1677.177734375
Nonrigid Registration - channel 4,1,R6,4,BRCA (OHSU),0.0006110301474109292,4.9739251136779785
Nonrigid Registration - channel 4,1,R3,4,BRCA (OHSU),0.00020000121730845422,1.6280555725097656
Nonrigid Registration - channel 4,1,R10,4,BRCA (OHSU),0.30413374304771423,2475.71728515625
