Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Nonrigid registration - Background,0,R1,2,HCC1143 (OHSU),0.00010208234016317874,0.8299638628959656
Nonrigid registration - Background,0,R7,2,HCC1143 (OHSU),0.00016264071746263653,1.3223239183425903
Nonrigid registration - Background,0,R5,2,HCC1143 (OHSU),0.00024939942522905767,2.0277018547058105
Nonrigid registration - Background,0,R9,2,HCC1143 (OHSU),0.06739873439073563,547.9745483398438
Nonrigid registration - Background,0,R10,2,HCC1143 (OHSU),0.00011895645729964599,0.9671562910079956
Nonrigid registration - Background,0,R4,2,HCC1143 (OHSU),0.00025597697822377086,2.08117938041687
Nonrigid registration - Background,0,R6,2,HCC1143 (OHSU),0.0001693895028438419,1.3771940469741821
Nonrigid registration - Background,0,R8,2,HCC1143 (OHSU),0.0001790990645531565,1.4561359882354736
Nonrigid registration - Background,0,R11,2,HCC1143 (OHSU),0.00019427975348662585,1.5795602798461914
Nonrigid registration - Background,0,R3,2,HCC1143 (OHSU),0.00021692037989851087,1.7636359930038452
Nonrigid registration - Background,0,R2,2,HCC1143 (OHSU),0.00011222931061638519,0.9124621748924255
