Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Nonrigid Registration,1,R7,2,HCC1143 (OHSU),0.000155280111358,1.26357471942902
Nonrigid Registration,1,R5,2,HCC1143 (OHSU),0.000183676136658,1.49464428424835
Nonrigid Registration,1,R9,2,HCC1143 (OHSU),0.000203780960874,1.65824496746063
Nonrigid Registration,1,R10,2,HCC1143 (OHSU),0.000129635853227,1.0548974275589
Nonrigid Registration,1,R4,2,HCC1143 (OHSU),0.000342751649441,2.78910350799561
Nonrigid Registration,1,R6,2,HCC1143 (OHSU),0.000146874401253,1.19517409801483
Nonrigid Registration,1,R8,2,HCC1143 (OHSU),0.000144855381222,1.17874455451965
Nonrigid Registration,1,R11,2,HCC1143 (OHSU),0.000131520791911,1.07023596763611
Nonrigid Registration,1,R3,2,HCC1143 (OHSU),0.000280985113932,2.28648519515991
Nonrigid Registration,1,R2,2,HCC1143 (OHSU),0.000127311592223,1.03598403930664
