Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Unregistered,1,R7,na,HCC1143 (OHSU),0.004873753525317,39.6423873901367
Unregistered,1,R5,na,HCC1143 (OHSU),0.056140452623367,456.916168212891
Unregistered,1,R9,na,HCC1143 (OHSU),0.016740012913942,136.160766601563
Unregistered,1,R10,na,HCC1143 (OHSU),0.034348472952843,279.482482910156
Unregistered,1,R4,na,HCC1143 (OHSU),0.026002274826169,211.627410888672
Unregistered,1,R6,na,HCC1143 (OHSU),0.144627213478088,1377.06921386719
Unregistered,1,R8,na,HCC1143 (OHSU),0.039508391171694,321.411193847656
Unregistered,1,R11,na,HCC1143 (OHSU),0.014621455222368,118.959747314453
Unregistered,1,R3,na,HCC1143 (OHSU),0.023577256128192,191.890625
Unregistered,1,R2,na,HCC1143 (OHSU),0.025811899453402,209.840591430664
