Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Rigid Registration with DAPI,1,R7,1,HCC1143 (OHSU),9.568399400450289e-05,0.7786179184913635
Rigid Registration with DAPI,1,R5,1,HCC1143 (OHSU),0.0001257609110325575,1.0233653783798218
Rigid Registration with DAPI,1,R9,1,HCC1143 (OHSU),0.00010408398520667106,0.846971869468689
Rigid Registration with DAPI,1,R10,1,HCC1143 (OHSU),0.0001150581447291188,0.9362728595733643
Rigid Registration with DAPI,1,R4,1,HCC1143 (OHSU),0.00012310437159612775,1.0017482042312622
Rigid Registration with DAPI,1,R6,1,HCC1143 (OHSU),0.00011577960685826838,0.9421436190605164
Rigid Registration with DAPI,1,R8,1,HCC1143 (OHSU),0.00011948021710850298,0.9722569584846497
Rigid Registration with DAPI,1,R11,1,HCC1143 (OHSU),7.860914047341794e-05,0.6396731734275818
Rigid Registration with DAPI,1,R3,1,HCC1143 (OHSU),0.00010602356633171439,0.8627550601959229
Rigid Registration with DAPI,1,R2,1,HCC1143 (OHSU),0.00010430878319311887,0.8488011956214905
