Registration Method,Target Round,Moving Round,Registration Channel,Dataset,TRE,Mean Error (um)
Unregistered,1,R5,na,Tonsil (OHSU),0.214848026633263,2050.97705078125
Unregistered,1,R7,na,Tonsil (OHSU),0.197437718510628,1883.36059570313
Unregistered,1,R2,na,Tonsil (OHSU),0.025398558005691,206.749801635742
Unregistered,1,R6,na,Tonsil (OHSU),0.138888746500015,1322.22998046875
Unregistered,1,R10,na,Tonsil (OHSU),0.223900258541107,2137.5693359375
Unregistered,1,R11,na,Tonsil (OHSU),0.204299613833427,1948.73168945313
Unregistered,1,R8,na,Tonsil (OHSU),0.207130253314972,1975.81799316406
Unregistered,1,R9,na,Tonsil (OHSU),0.205941244959831,1964.92834472656
Unregistered,1,R4,na,Tonsil (OHSU),0.027481699362397,223.668060302734
Unregistered,1,R3,na,Tonsil (OHSU),0.212403252720833,2025.62585449219
