Strategy,TRE,Moving round,Target round
Unregistered,0.01470370963215828,9,1
Linear/Keypoint (DAPI),0.00022817995341029018,9,1
Unregistered,0.026107463985681534,2,1
Linear/Keypoint (DAPI),0.00011027937580365688,2,1
Unregistered,0.23513035476207733,4,1
Linear/Keypoint (DAPI),0.00017064002167899162,4,1
Unregistered,0.056721948087215424,5,1
Linear/Keypoint (DAPI),0.00015369890024885535,5,1
Unregistered,0.004331483505666256,7,1
Linear/Keypoint (DAPI),0.0001302926248172298,7,1
Unregistered,0.016353599727153778,11,1
Linear/Keypoint (DAPI),0.0002009555755648762,11,1
Unregistered,0.03941350802779198,8,1
Linear/Keypoint (DAPI),0.00020634398970287293,8,1
Unregistered,0.2568792402744293,6,1
Linear/Keypoint (DAPI),0.00022868713131174445,6,1
Unregistered,0.05407281965017319,3,1
Linear/Keypoint (DAPI),0.00015223116497509181,3,1
Unregistered,0.03474155440926552,10,1
Linear/Keypoint (DAPI),0.0001696514809736982,10,1
OHSU (DAPI),0.00010114625911228359,5,1
OHSU (DAPI),9.965724166249856e-05,9,1
OHSU (DAPI),9.628022962715477e-05,7,1
OHSU (DAPI),9.686679550213739e-05,11,1
OHSU (DAPI),0.0001092077000066638,2,1
OHSU (DAPI),0.0001219327314174734,8,1
OHSU (DAPI),0.00010900678898906335,6,1
OHSU (DAPI),0.00011299660400254652,4,1
OHSU (DAPI),0.00012331745529081672,10,1
OHSU (DAPI),0.00011272948904661462,3,1
