Strategy,TRE,Moving round,Target round
Unregistered,0.004884565249085426,7,1
Linear/Keypoint (DAPI),0.00010574895713943988,7,1
Unregistered,0.05618741363286972,5,1
Linear/Keypoint (DAPI),0.00011515619553392753,5,1
Unregistered,0.016736255958676338,9,1
Linear/Keypoint (DAPI),0.00010902831854764372,9,1
Unregistered,0.03438858315348625,10,1
Linear/Keypoint (DAPI),0.0001251709327334538,10,1
Unregistered,0.026092590764164925,4,1
Linear/Keypoint (DAPI),0.0001278776180697605,4,1
Unregistered,0.14425095915794373,6,1
Linear/Keypoint (DAPI),0.00012448917550500482,6,1
Unregistered,0.03956534340977669,8,1
Linear/Keypoint (DAPI),0.00012381214764900506,8,1
Unregistered,0.014659281820058823,11,1
Linear/Keypoint (DAPI),8.677770529175177e-05,11,1
Unregistered,0.02360168844461441,3,1
Linear/Keypoint (DAPI),0.00011492949852254242,3,1
Unregistered,0.025896035134792328,2,1
Linear/Keypoint (DAPI),0.000111646149889566,2,1
OHSU (DAPI),0.00010114625911228359,5,1
OHSU (DAPI),9.965724166249856e-05,9,1
OHSU (DAPI),9.628022962715477e-05,7,1
OHSU (DAPI),9.686679550213739e-05,11,1
OHSU (DAPI),0.0001092077000066638,2,1
OHSU (DAPI),0.0001219327314174734,8,1
OHSU (DAPI),0.00010900678898906335,6,1
OHSU (DAPI),0.00011299660400254652,4,1
OHSU (DAPI),0.00012331745529081672,10,1
OHSU (DAPI),0.00011272948904661462,3,1
