Strategy,TRE,Moving round,Target round
Unregistered,0.21406769752502441,5,1
Linear/Keypoint (DAPI),0.00010494170419406146,5,1
Unregistered,0.1974710375070572,7,1
Linear/Keypoint (DAPI),0.00020783122454304248,7,1
Unregistered,0.025023052468895912,2,1
Linear/Keypoint (DAPI),0.00014196024858392775,2,1
Unregistered,0.13927574455738068,6,1
Linear/Keypoint (DAPI),0.00020453498291317374,6,1
Unregistered,0.22403138875961304,10,1
Linear/Keypoint (DAPI),0.00021268513228278607,10,1
Unregistered,0.20445796847343445,11,1
Linear/Keypoint (DAPI),0.00013428431702777743,11,1
Unregistered,0.2068425416946411,8,1
Linear/Keypoint (DAPI),0.00015786079165991396,8,1
Unregistered,0.2059323489665985,9,1
Linear/Keypoint (DAPI),0.0001551849563838914,9,1
Unregistered,0.027648918330669403,4,1
Linear/Keypoint (DAPI),0.00018355537031311542,4,1
Unregistered,0.21256870031356812,3,1
Linear/Keypoint (DAPI),0.00013878356548957527,3,1
OHSU (DAPI),0.00013035129813943058,11,1
OHSU (DAPI),0.00015702401287853718,8,1
OHSU (DAPI),0.00020705875067505985,6,1
OHSU (DAPI),0.00012241071090102196,3,1
OHSU (DAPI),0.00020073498308192939,7,1
OHSU (DAPI),0.00014167370682116598,2,1
OHSU (DAPI),0.00010277770343236625,5,1
OHSU (DAPI),0.00015068049833644181,9,1
OHSU (DAPI),0.000201880800887011,4,1
OHSU (DAPI),0.0002092427748721093,10,1
